age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0.247,3,0.096,15,10,4,11,1,0,0,0,0,40,38,0
0.055,3,0.156,11,9,4,7,2,4,0,0,0,35,38,0
0.411,1,0.176,15,10,4,0,1,2,1,0,0,40,38,0
0.178,3,0.118,9,13,4,12,1,4,0,0,0,35,38,0
0.507,3,0.082,15,10,4,11,1,2,1,0,0,41,38,0
0.562,3,0.095,15,10,6,7,1,2,0,0,0,40,38,0
0.479,1,0.095,7,12,2,10,0,4,1,0,0,40,38,1
0.192,3,0.272,2,8,4,4,1,2,1,0,0,60,38,0
0.178,3,0.194,15,10,0,11,4,0,0,0,0,40,38,0
0.233,3,0.096,9,13,2,9,0,4,1,0,0,40,38,1
0.849,5,0.062,11,9,2,4,0,4,1,0,0,40,38,0
0.082,3,0.101,15,10,4,11,3,1,0,0,0,40,38,0
0.342,5,0.059,15,10,2,3,0,4,1,0,0,40,38,1
0.384,4,0.122,9,13,2,3,0,4,1,0,0,45,38,1
0.205,6,0.262,9,13,2,10,0,4,1,0,0,40,38,1
0.493,3,0.082,11,9,2,7,0,2,1,4386,0,30,38,1
0.205,1,0.134,15,10,4,7,4,2,0,0,0,40,38,0
0.027,3,0.085,15,10,4,0,3,4,1,0,0,10,38,0
0.082,3,0.161,9,13,4,11,1,4,0,0,0,40,38,0
0.164,-1,0.065,11,9,2,-1,0,4,1,0,0,40,5,0
0.370,3,0.132,11,9,4,11,2,4,0,0,0,15,38,0
0.178,1,0.237,11,9,2,10,0,2,1,0,0,40,38,0
0.192,3,0.103,1,7,2,2,0,4,1,0,0,40,25,0
0.397,3,0.076,15,10,2,2,0,1,1,0,0,40,39,0
0.205,3,0.160,15,10,2,6,0,4,1,0,0,40,38,0
0.192,3,0.117,11,9,4,7,3,2,0,0,0,20,38,0
0.014,-1,0.149,1,7,4,-1,3,4,0,0,0,15,38,0
0.137,3,0.293,2,8,4,2,3,4,1,0,0,40,38,0
0.356,3,0.039,7,12,2,12,0,1,1,0,0,40,38,0
0.000,3,0.105,5,4,4,4,2,3,1,0,0,40,25,0
0.205,3,0.126,15,10,2,2,0,4,1,0,0,40,38,0
0.247,6,0.027,11,9,4,7,2,4,1,0,0,40,38,0
0.301,3,0.069,15,10,2,13,0,4,1,0,0,43,38,1
0.205,3,0.115,11,9,4,0,2,4,0,0,0,50,38,0
0.301,3,0.154,11,9,4,3,1,4,1,0,0,42,38,0
0.068,-1,0.016,11,9,2,-1,5,4,0,0,0,22,38,0
0.370,3,0.097,5,4,5,7,4,4,0,0,0,38,28,0
0.068,3,0.102,15,10,4,5,3,4,1,0,0,25,38,0
0.192,-1,0.115,9,13,2,-1,5,4,0,4064,0,30,1,0
0.548,3,0.074,15,10,6,0,4,4,0,0,2258,38,38,1
